<ID|readonly|noverify>;<English>;<Comments>
fir_ny_2;Christmas tree;
giftbox_ny;Present;
giftbox_ny_0;Present;
giftbox_ny_1;Present;
giftbox_ny_2;Present;
giftbox;Present;
giftbox_0;Present;
giftbox_1;Present;
giftbox_2;Present;
structures/asteroid_0;Asteroid;
structures/asteroid_1;Asteroid;
structures/asteroid_2;Asteroid;
structures/ship_target_mine_char_0;Target «Naval mine»;
structures/ship_target_mine_char_1;Target «Naval mine»;
structures/ship_target_mine_char_2;Target «Naval mine»;
structures/ship_target_1_char_0;Target «Destroyer»;
structures/ship_target_1_char_1;Target «Destroyer»;
structures/ship_target_1_char_2;Target «Destroyer»;
structures/ship_target_2_char_0;Target «Boat»;
structures/ship_target_2_char_1;Target «Boat»;
structures/ship_target_2_char_2;Target «Boat»;
structures/heavy_lasgun_carrier_shop;Orbital laser;
structures/dummy_naval_base_0;Coastal artillery;
structures/dummy_naval_base_1;Coastal artillery;
structures/dummy_naval_base_2;Coastal artillery;
structures/oil_storage_tank;Oil storage tank;
structures/building;Building;
structures/industrial_building;Industrial building;
structures/chemical_processing_unit;Chemical processing unit;
structures/cooling_tower;Cooling tower;
structures/fan_cooling_tower;Fan cooling tower;
structures/chimney;Chimney;
;;
;;
;;
Radars (USA);;
radars/us_an_tps_43_radar_0;▃ AN/TPS-43;
radars/us_an_tps_43_radar_1;▃ AN/TPS-43;
radars/us_an_tps_43_radar_2;Radar;
;;
;;
Radars (USSR);;
ussr_ai_sam_radar_p_12_0;▂ P-12 Yenisei;
ussr_ai_sam_radar_p_12_1;▂ P-12 Yenisei;
ussr_ai_sam_radar_p_12_2;Radar;
radars/ussr_p_37_radar_0;▂ P-37;
radars/ussr_p_37_radar_1;▂ P-37;
radars/ussr_p_37_radar_2;Radar;
ussr_ai_sam_radar_snr_75_0;▂ SNR-75 'Fan Song';
ussr_ai_sam_radar_snr_75_1;▂ SNR-75 'Fan Song';
ussr_ai_sam_radar_snr_75_2;Radar;
;;
;;
;;
Guns (USA);;
air_defence/us_12mm_m2_0;▃ .50 Cal. M2HB;
air_defence/us_12mm_m2_1;▃ .50 AAA;
air_defence/us_12mm_m2_2;AAA;
air_defence/us_12mm_m2_coastfort_0;▃ .50 Cal. M2HB;
air_defence/us_12mm_m2_coastfort_1;▃ .50 AAA;
air_defence/us_12mm_m2_coastfort_2;AAA;
air_defence/us_12mm_m2_noground_0;▃ .50 Cal. M2HB;
air_defence/us_12mm_m2_noground_1;▃ .50 AAA;
air_defence/us_12mm_m2_noground_2;AAA;
air_defence/us_12mm_m2_sandfort_0;▃ .50 Cal. M2HB;
air_defence/us_12mm_m2_sandfort_1;▃ .50 AAA;
air_defence/us_12mm_m2_sandfort_2;AAA;
air_defence/us_ground_12mm_m2_noground_0;▃ .50 Cal. M2HB;
air_defence/us_ground_12mm_m2_noground_1;▃ .50 machine gun;
air_defence/us_ground_12mm_m2_noground_2;Machine gun;
structures/us_37mm_m3_0;▃ 37-mm M3;
structures/us_37mm_m3_1;▃ 37-mm artillery;
structures/us_37mm_m3_2;Artillery;
structures/us_37mm_m3_noground_0;▃ 37-mm M3;
structures/us_37mm_m3_noground_1;▃ 37-mm artillery;
structures/us_37mm_m3_noground_2;Artillery;
air_defence/us_40mm_bofors_0;▃ 40-mm M1;
air_defence/us_40mm_bofors_1;▃ 40-mm AAA;
air_defence/us_40mm_bofors_2;AAA;
air_defence/us_40mm_bofors_airfield_0;▃ 40-mm M1;
air_defence/us_40mm_bofors_airfield_1;▃ 40-mm AAA;
air_defence/us_40mm_bofors_airfield_2;AAA;
air_defence/us_40mm_bofors_noground_0;▃ 40-mm M1;
air_defence/us_40mm_bofors_noground_1;▃ 40-mm AAA;
air_defence/us_40mm_bofors_noground_2;AAA;
air_defence/arcade_us_40mm_0;▃ 40-mm M1;
air_defence/arcade_us_40mm_1;▃ 40-mm AAA;
air_defence/arcade_us_40mm_2;AAA;
structures/us_57mm_m1_0;▃ 57-mm M1;
structures/us_57mm_m1_1;▃ 57-mm artillery;
structures/us_57mm_m1_2;Artillery;
structures/us_57mm_m1_noground_0;▃ 57-mm M1;
structures/us_57mm_m1_noground_1;▃ 57-mm artillery;
structures/us_57mm_m1_noground_2;Artillery;
us_at_gun_m1_0;▃ 57-mm M1;
us_at_gun_m1_1;▃ 57-mm anti-tank gun;
us_at_gun_m1_2;Anti-tank gun;
air_defence/us_90mm_m1_0;▃ 90-mm M1;
air_defence/us_90mm_m1_1;▃ 90-mm AAA;
air_defence/us_90mm_m1_2;AAA;
air_defence/us_90mm_versus_0;▃ 90-mm M1;
air_defence/us_90mm_versus_1;▃ 90-mm AAA;
air_defence/us_90mm_versus_2;AAA;
air_defence/arcade_us_90mm_0;▃ 90-mm M1;
air_defence/arcade_us_90mm_1;▃ 90-mm AAA;
air_defence/arcade_us_90mm_2;AAA;
structures/us_105mm_m2a1_0;▃ 105-mm M2A1;
structures/us_105mm_m2a1_1;▃ 105-mm artillery;
structures/us_105mm_m2a1_2;Artillery;
structures/us_105mm_m2a1_noground_0;▃ 105-mm M2A1;
structures/us_105mm_m2a1_noground_1;▃ 105-mm artillery;
structures/us_105mm_m2a1_noground_2;Artillery;
us_at_m40_0;▃ 106-mm М40;
us_at_m40_1;▃ 106-mm anti-tank gun;
us_at_m40_2;Anti-tank gun;
structures/us_152mm_coastal_0;▃ 6-in M1897;
structures/us_152mm_coastal_1;▃ 6-in coastal artillery;
structures/us_152mm_coastal_2;Coastal artillery;
us_152mm_for_land_battles_0;▃ 6-in M1897;
us_152mm_for_land_battles_1;▃ 6-in artillery;
us_152mm_for_land_battles_2;Artillery;
structures/us_155mm_m114_0;▃ 155-mm M1A1;
structures/us_155mm_m114_1;▃ 155-mm artillery;
structures/us_155mm_m114_2;Artillery;
structures/us_155mm_m114_ultimate_0;▃ 155-mm M1A1;
structures/us_155mm_m114_ultimate_1;▃ 155-mm artillery;
structures/us_155mm_m114_ultimate_2;Artillery;
structures/us_m198_0;▃ 155-mm M198;
structures/us_m198_1;▃ 155-mm artillery;
structures/us_m198_2;Artillery;
;;
;;
Guns (Germany);;
germ_machinegun_mg_08_0;◄ 7,92-mm MG 08;
germ_machinegun_mg_08_0;◄ 7,92-mm machine gun;
germ_machinegun_mg_08_1;Machine gun;
air_defence/germ_20mm_flak38_0;▀ 2-cm FlaK 38;
air_defence/germ_20mm_flak38_1;▀ 2-cm AAA;
air_defence/germ_20mm_flak38_2;AAA;
air_defence/germ_20mm_flak38_airfield_0;▀ 2-cm FlaK 38;
air_defence/germ_20mm_flak38_airfield_1;▀ 2-cm AAA;
air_defence/germ_20mm_flak38_airfield_2;AAA;
air_defence/germ_20mm_flak38_helipad_0;▀ 2-cm FlaK 38;
air_defence/germ_20mm_flak38_helipad_1;▀ 2-cm AAA;
air_defence/germ_20mm_flak38_helipad_2;AAA;
air_defence/germ_20mm_flak38_noground_light_0;▀ 2-cm FlaK 38;
air_defence/germ_20mm_flak38_noground_light_1;▀ 2-cm AAA;
air_defence/germ_20mm_flak38_noground_light_2;AAA;
air_defence/germ_20mm_flak38_noground_0;▀ 2-cm FlaK 38;
air_defence/germ_20mm_flak38_noground_1;▀ 2-cm AAA;
air_defence/germ_20mm_flak38_noground_2;AAA;
air_defence/germ_20mmx4_flak38_0;▀ 4x 2-cm FlaK 38;
air_defence/germ_20mmx4_flak38_1;▀ 4x 2-cm AAA;
air_defence/germ_20mmx4_flak38_2;AAA;
air_defence/germ_20mmx4_flak38_noground_0;▀ 4x 2-cm FlaK 38;
air_defence/germ_20mmx4_flak38_noground_1;▀ 4x 2-cm AAA;
air_defence/germ_20mmx4_flak38_noground_2;AAA;
germ_at_gun_flak36_shop;▀ 3,7-cm FlaK 36;
germ_at_gun_flak36_0;▀ 3,7-cm Fliegerabwehrkanone 36;
germ_at_gun_flak36_1;▀ 3,7-cm AAA;
germ_at_gun_flak36_2;AAA;
air_defence/germ_37mm_flak43_0;▀ 3,7-cm FlaK 37;
air_defence/germ_37mm_flak43_1;▀ 3,7-cm AAA;
air_defence/germ_37mm_flak43_2;AAA;
air_defence/germ_37mm_flak43_airfield_0;▀ 3,7-cm FlaK 37;
air_defence/germ_37mm_flak43_airfield_1;▀ 3,7-cm AAA;
air_defence/germ_37mm_flak43_airfield_2;AAA;
air_defence/germ_37mm_flak43_naval_0;▀ 3,7-cm FlaK 37;
air_defence/germ_37mm_flak43_naval_1;▀ 3,7-cm AAA;
air_defence/germ_37mm_flak43_naval_2;AAA;
air_defence/germ_37mm_flak43_noground_0;▀ 3,7-cm FlaK 37;
air_defence/germ_37mm_flak43_noground_1;▀ 3,7-cm AAA;
air_defence/germ_37mm_flak43_noground_2;AAA;
air_defence/arcade_germ_37mm_0;▀ 3,7-cm FlaK 37;
air_defence/arcade_germ_37mm_1;▀ 3,7-cm AAA;
air_defence/arcade_germ_37mm_2;AAA;
structures/germ_37mm_pak36_0;▀ 3,7-cm PaK 36;
structures/germ_37mm_pak36_1;▀ 3,7-cm artillery;
structures/germ_37mm_pak36_2;Artillery;
structures/germ_37mm_pak36_noground_light_0;▀ 3,7-cm PaK 36;
structures/germ_37mm_pak36_noground_light_1;▀ 3,7-cm artillery;
structures/germ_37mm_pak36_noground_light_2;Artillery;
structures/germ_37mm_pak36_noground_0;▀ 3,7-cm PaK 36;
structures/germ_37mm_pak36_noground_1;▀ 3,7-cm artillery;
structures/germ_37mm_pak36_noground_2;Artillery;
germ_at_gun_pak36_0;▀ 3,7-cm PaK 35/36;
germ_at_gun_pak36_1;▀ 3,7-cm anti-tank gun;
germ_at_gun_pak36_2;Anti-tank gun;
structures/germ_50mm_pak38_0;▀ 5-cm PaK 38;
structures/germ_50mm_pak38_1;▀ 5-cm artillery;
structures/germ_50mm_pak38_2;Artillery;
germ_at_gun_pak38_0;▀ 5-cm PaK 38;
germ_at_gun_pak38_1;▀ 5-cm anti-tank gun;
germ_at_gun_pak38_2;Anti-tank gun;
structures/germ_75mm_pak40_0;▀ 7,5-cm PaK 40;
structures/germ_75mm_pak40_1;▀ 7,5-cm artillery;
structures/germ_75mm_pak40_2;Artillery;
structures/germ_75mm_pak40_noground_0;▀ 7,5-cm PaK 40;
structures/germ_75mm_pak40_noground_1;▀ 7,5-cm artillery;
structures/germ_75mm_pak40_noground_2;Artillery;
germ_at_gun_pak40_shop;▀ 7,5-cm PaK 40;
germ_at_gun_pak40_0;▀ 7,5-cm Panzerabwehrkanone 40;
germ_at_gun_pak40_1;▀ 7,5-cm anti-tank gun;
germ_at_gun_pak40_2;Anti-tank gun;
air_defence/germ_88mm_flak36_0;▀ 8,8-cm FlaK 36;
air_defence/germ_88mm_flak36_1;▀ 8,8-cm AAA;
air_defence/germ_88mm_flak36_2;AAA;
air_defence/germ_88mm_flak36_noground_0;▀ 8,8-cm FlaK 36;
air_defence/germ_88mm_flak36_noground_1;▀ 8,8-cm AAA;
air_defence/germ_88mm_flak36_noground_2;AAA;
air_defence/arcade_germ_88mm_0;▀ 8,8-cm FlaK 36;
air_defence/arcade_germ_88mm_1;▀ 8,8-cm AAA;
air_defence/arcade_germ_88mm_2;AAA;
structures/germ_88mm_pak43_0;▀ 8,8-cm PaK 43;
structures/germ_88mm_pak43_1;▀ 8,8-cm artillery;
structures/germ_88mm_pak43_2;Artillery;
structures/germ_88mm_pak43_noground_0;▀ 8,8-cm PaK 43;
structures/germ_88mm_pak43_noground_1;▀ 8,8-cm artillery;
structures/germ_88mm_pak43_noground_2;Artillery;
germ_3x280mm_sk_c34_for_land_battles_0;▀ 3x 28-cm SK C/34;
germ_3x280mm_sk_c34_for_land_battles_1;▀ 3x 28-cm artillery;
germ_3x280mm_sk_c34_for_land_battles_2;Artillery;
structures/germ_380mm_skc34_0;▀ 38-cm SK C/34;
structures/germ_380mm_skc34_1;▀ 38-cm battleship artillery;
structures/germ_380mm_skc34_2;Battleship artillery;
structures/germ_quest_large_art_0;▀ Howitzer;
structures/germ_quest_large_art_1;▀ Howitzer;
structures/germ_quest_large_art_2;Howitzer;
structures/germ_quest_large_art_noground_0;▀ Howitzer;
structures/germ_quest_large_art_noground_1;▀ Howitzer;
structures/germ_quest_large_art_noground_2;Howitzer;
;;
;;
Guns (USSR);;
air_defence/ussr_25mm_72k_0;▂ 25-mm M1940;
air_defence/ussr_25mm_72k_1;▂ 25-mm AAA;
air_defence/ussr_25mm_72k_2;AAA;
air_defence/ussr_25mm_72k_airfield_0;▂ 25-mm M1940;
air_defence/ussr_25mm_72k_airfield_1;▂ 25-mm AAA;
air_defence/ussr_25mm_72k_airfield_2;AAA;
air_defence/ussr_25mm_72k_noground_0;▂ 25-mm M1940;
air_defence/ussr_25mm_72k_noground_1;▂ 25-mm AAA;
air_defence/ussr_25mm_72k_noground_2;AAA;
air_defence/ussr_37mm_61k_0;▂ 37-mm M1939;
air_defence/ussr_37mm_61k_1;▂ 37-mm AAA;
air_defence/ussr_37mm_61k_2;AAA;
air_defence/ussr_37mm_61k_noground_0;▂ 37-mm M1939;
air_defence/ussr_37mm_61k_noground_1;▂ 37-mm AAA;
air_defence/ussr_37mm_61k_noground_2;AAA;
air_defence/ussr_37mm_61k_airfield_0;▂ 37-mm M1939;
air_defence/ussr_37mm_61k_airfield_1;▂ 37-mm AAA;
air_defence/ussr_37mm_61k_airfield_2;AAA;
air_defence/arcade_ussr_37mm_0;▂ 37-mm M1939;
air_defence/arcade_ussr_37mm_1;▂ 37-mm AAA;
air_defence/arcade_ussr_37mm_2;AAA;
ussr_at_gun_53k_0;▂ 45-mm M1937;
ussr_at_gun_53k_1;▂ 45-mm anti-tank gun;
ussr_at_gun_53k_2;Anti-tank gun;
structures/ussr_57mm_zis2_0;▂ 57-mm M1943;
structures/ussr_57mm_zis2_1;▂ 57-mm artillery;
structures/ussr_57mm_zis2_2;Artillery;
structures/ussr_57mm_zis2_noground_0;▂ 57-mm M1943;
structures/ussr_57mm_zis2_noground_1;▂ 57-mm artillery;
structures/ussr_57mm_zis2_noground_2;Artillery;
ussr_at_spg_9_0;▂ 73-mm SPG-9;
ussr_at_spg_9_1;▂ 73-mm anti-tank gun;
ussr_at_spg_9_2;Anti-tank gun;
structures/ussr_76mm_zis3_0;▂ 76-mm M1942;
structures/ussr_76mm_zis3_1;▂ 76-mm artillery;
structures/ussr_76mm_zis3_2;Artillery;
structures/ussr_76mm_zis3_noground_0;▂ 76-mm M1942;
structures/ussr_76mm_zis3_noground_1;▂ 76-mm artillery;
structures/ussr_76mm_zis3_noground_2;Artillery;
air_defence/ussr_85mm_52k_0;▂ 85-mm M1939;
air_defence/ussr_85mm_52k_1;▂ 85-mm AAA;
air_defence/ussr_85mm_52k_2;AAA;
air_defence/ussr_85mm_52k_noground_0;▂ 85-mm M1939;
air_defence/ussr_85mm_52k_noground_1;▂ 85-mm AAA;
air_defence/ussr_85mm_52k_noground_2;AAA;
air_defence/arcade_ussr_85mm_0;▂ 85-mm M1939;
air_defence/arcade_ussr_85mm_1;▂ 85-mm AAA;
air_defence/arcade_ussr_85mm_2;AAA;
structures/ussr_122mm_m30_0;▂ 122-mm M1938;
structures/ussr_122mm_m30_1;▂ 122-mm artillery;
structures/ussr_122mm_m30_2;Artillery;
structures/ussr_122mm_m30_event_0;▂ 122-mm M1938;
structures/ussr_122mm_m30_event_1;▂ 122-mm artillery;
structures/ussr_122mm_m30_event_2;Artillery;
structures/ussr_122mm_m30_noground_0;▂ 122-mm M1938;
structures/ussr_122mm_m30_noground_1;▂ 122-mm artillery;
structures/ussr_122mm_m30_noground_2;Artillery;
structures/ussr_2a36_giatsint_b_0;▂ 152-mm 2A36 Giatsint-B;
structures/ussr_2a36_giatsint_b_1;▂ 152-mm artillery;
structures/ussr_2a36_giatsint_b_2;Artillery;
structures/ussr_152mm_ml20_0;▂ 152-mm M1937;
structures/ussr_152mm_ml20_1;▂ 152-mm artillery;
structures/ussr_152mm_ml20_2;Artillery;
structures/ussr_152mm_ml20_large_0;▂ 152-mm M1937;
structures/ussr_152mm_ml20_large_1;▂ 152-mm artillery;
structures/ussr_152mm_ml20_large_2;Artillery;
structures/ussr_152mm_d1_0;▂ 152-mm M1943;
structures/ussr_152mm_d1_1;▂ 152-mm artillery;
structures/ussr_152mm_d1_2;Artillery;
structures/ussr_152mm_d1_illum_0;▂ 152-mm M1943;
structures/ussr_152mm_d1_illum_1;▂ 152-mm artillery;
structures/ussr_152mm_d1_illum_2;Artillery;
structures/ussr_quest_large_art_0;▂ Howitzer;
structures/ussr_quest_large_art_1;▂ Howitzer;
structures/ussr_quest_large_art_2;Howitzer;
structures/ussr_quest_large_art_noground_0;▂ Howitzer;
structures/ussr_quest_large_art_noground_1;▂ Howitzer;
structures/ussr_quest_large_art_noground_2;Howitzer;
;;
;;
Guns (UK);;
air_defence/uk_12mm_m2_0;▄ 12.7-mm L2A1;
air_defence/uk_12mm_m2_1;▄ 12.7-mm AAA;
air_defence/uk_12mm_m2_2;AAA;
air_defence/uk_12mm_m2_noground_0;▄ 12.7-mm L2A1;
air_defence/uk_12mm_m2_noground_1;▄ 12.7-mm AAA;
air_defence/uk_12mm_m2_noground_2;AAA;
air_defence/uk_40mm_bofors_0;▄ 40-mm OQF Mk.V;
air_defence/uk_40mm_bofors_1;▄ 40-mm AAA;
air_defence/uk_40mm_bofors_2;AAA;
air_defence/uk_40mm_bofors_noground_0;▄ 40-mm OQF Mk.V;
air_defence/uk_40mm_bofors_noground_1;▄ 40-mm AAA;
air_defence/uk_40mm_bofors_noground_2;AAA;
air_defence/uk_40mm_bofors_airfield_0;▄ 40-mm OQF Mk.V;
air_defence/uk_40mm_bofors_airfield_1;▄ 40-mm AAA;
air_defence/uk_40mm_bofors_airfield_2;AAA;
air_defence/40mm_arcade_gun_0;▄ 40-mm OQF Mk.V;
air_defence/40mm_arcade_gun_1;▄ 40-mm AAA;
air_defence/40mm_arcade_gun_2;AAA;
air_defence/arcade_uk_40mm_0;▄ 40-mm OQF Mk.V;
air_defence/arcade_uk_40mm_1;▄ 40-mm AAA;
air_defence/arcade_uk_40mm_2;AAA;
structures/uk_57mm_mkIV_0;▄ 57-mm OQF 6-pdr Mk.IV;
structures/uk_57mm_mkIV_1;▄ 57-mm artillery;
structures/uk_57mm_mkIV_2;Artillery;
uk_at_gun_qf6pounder_0;▄ 57-mm OQF 6-pdr Mk.IV;
uk_at_gun_qf6pounder_1;▄ 57-mm anti-tank gun;
uk_at_gun_qf6pounder_2;Anti-tank gun;
uk_at_gun_qf17pounder_0;▄ 3-in OQF 17-pdr;
uk_at_gun_qf17pounder_1;▄ 3-in anti-tank gun;
uk_at_gun_qf17pounder_2;Anti-tank gun;
structures/uk_87mm_mkII_0;▄ 3.45-in OQF 25-pdr Mk.II;
structures/uk_87mm_mkII_1;▄ 3.45-in artillery;
structures/uk_87mm_mkII_2;Artillery;
structures/uk_87mm_mkII_noground_0;▄ 3.45-in OQF 25-pdr Mk.II;
structures/uk_87mm_mkII_noground_1;▄ 3.45-in artillery;
structures/uk_87mm_mkII_noground_2;Artillery;
air_defence/arcade_uk_90mm_0;▄ 3.7-in OQF Mk.VI;
air_defence/arcade_uk_90mm_1;▄ 3.7-in AAA;
air_defence/arcade_uk_90mm_2;AAA;
structures/203mm_artillery_event_0;▄ 8-inch Vickers BL Mk.VI;
structures/203mm_artillery_event_1;▄ 8-inch howitzer;
structures/203mm_artillery_event_2;Howitzer;
;;
;;
Guns (Japan);;
air_defence/jpn_13mm_hotchkiss_0;▅ 13-mm Type 93;
air_defence/jpn_13mm_hotchkiss_1;▅ 13-mm AAA;
air_defence/jpn_13mm_hotchkiss_2;AAA;
air_defence/jpn_25mm_t96_0;▅ 25-mm Type 96;
air_defence/jpn_25mm_t96_1;▅ 25-mm AAA;
air_defence/jpn_25mm_t96_2;AAA;
air_defence/jpn_25mm_t96_coastfort_0;▅ 25-mm Type 96;
air_defence/jpn_25mm_t96_coastfort_1;▅ 25-mm AAA;
air_defence/jpn_25mm_t96_coastfort_2;AAA;
air_defence/jpn_25mm_t96_noground_0;▅ 25-mm Type 96;
air_defence/jpn_25mm_t96_noground_1;▅ 25-mm AAA;
air_defence/jpn_25mm_t96_noground_2;AAA;
air_defence/jpn_25mm_t96_sandfort_0;▅ 25-mm Type 96;
air_defence/jpn_25mm_t96_sandfort_1;▅ 25-mm AAA;
air_defence/jpn_25mm_t96_sandfort_2;AAA;
air_defence/jpn_25mm_t96_sandfort2_0;▅ 25-mm Type 96;
air_defence/jpn_25mm_t96_sandfort2_1;▅ 25-mm AAA;
air_defence/jpn_25mm_t96_sandfort2_2;AAA;
air_defence/arcade_jpn_25mm_0;▅ 25-mm Type 96;
air_defence/arcade_jpn_25mm_1;▅ 25-mm AAA;
air_defence/arcade_jpn_25mm_2;AAA;
jp_at_37mm_type_1_0;▅ 37-mm Type 1;
jp_at_37mm_type_1_1;▅ 37-mm anti-tank gun;
jp_at_37mm_type_1_2;Anti-tank gun;
structures/jpn_37mm_t94_0;▅ 37-mm Type 94;
structures/jpn_37mm_t94_1;▅ 37-mm artillery;
structures/jpn_37mm_t94_2;Artillery;
structures/jpn_37mm_t94_coastfort_0;▅ 37-mm Type 94;
structures/jpn_37mm_t94_coastfort_1;▅ 37-mm artillery;
structures/jpn_37mm_t94_coastfort_2;Artillery;
air_defence/jpn_40mm_airfield_0;▅ 40-mm Type 91;
air_defence/jpn_40mm_airfield_1;▅ 40-mm AAA;
air_defence/jpn_40mm_airfield_2;AAA;
structures/jpn_47mm_t1_0;▅ 47-mm Type 1;
structures/jpn_47mm_t1_1;▅ 47-mm artillery;
structures/jpn_47mm_t1_2;Artillery;
